DATA_YM,AREA_ID,DIST_CD,TOTAL_BIDG,FAC_NEIGH_1,FAC_NEIGH_2,FAC_CULT_MTG,FAC_RELG,FAC_RETAIL,FAC_MEDI,FAC_YOSE,FAC_TRAIN,FAC_SPORT,FAC_STAY,FAC_LEISURE,TOTAL_GAS,CMRC_GAS,TOTAL_ELEC
202303,9626,27110,0.10091743119266056,0.4810126582278481,0.10091743119266056,1,1,1,1,0,0,0,1,1,-0.06344463671132894,0.1693205980325391,1174.57
202303,10350,47130,0.19954128440366972,0.1301989150090416,0.19954128440366972,1,0,1,0,1,0,0,1,0,-0.2553359835419776,-0.055773676963632876,571.137
202212,9547,31200,0.18463302752293578,0.13381555153707053,0.18463302752293578,1,1,0,1,1,0,0,0,0,0.33476149771046737,0.5661552602005455,1094.982
202312,9995,41360,0.016055045871559634,0.007233273056057866,0.016055045871559634,0,1,0,0,0,0,0,0,0,-0.35046076669619747,-0.19910014783213176,594.064
202301,9248,11740,0.016055045871559634,0.003616636528028933,0.016055045871559634,0,0,1,0,1,0,0,0,0,1.2832034308076903,0.8087349051020154,2708.273
202407,9551,31710,0.013761467889908258,0.0162748643761302,0.013761467889908258,0,0,0,0,0,0,0,0,0,-0.4341748305160956,-0.35251064501360685,945.607
202308,9826,45111,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-0.5632136582307647,-0.5398784579036042,0.0
202401,10268,43760,0.05733944954128441,0.18264014466546113,0.05733944954128441,0,1,0,1,0,0,0,1,1,-0.42690155567715504,-0.3139427061379927,431.083
202303,9684,47930,0.011467889908256881,0.027124773960216998,0.011467889908256881,0,0,0,0,0,0,0,0,1,-0.5731352521004313,-0.5398784579036042,49.677
202208,9993,41360,0.009174311926605505,0.012658227848101266,0.009174311926605505,0,0,0,0,0,0,0,0,0,-0.5580617962561544,-0.5166610030245653,68.201
202301,10197,44200,0.047018348623853214,0.014466546112115732,0.047018348623853214,0,0,0,0,1,0,0,0,0,-0.42524894157021637,-0.31138936433126657,293.958
202210,9722,29200,0.026376146788990827,0.02531645569620253,0.026376146788990827,0,0,0,0,0,0,0,0,0,-0.3905007109855852,-0.38841263940448667,605.138
202405,10068,41290,0.0045871559633027525,0.0108499095840868,0.0045871559633027525,0,0,0,0,0,0,0,0,0,-0.17946346532365628,-0.06039799505102305,950.842
202303,9463,26230,0.08027522935779817,0.10669077757685352,0.08027522935779817,0,1,0,1,0,0,0,1,1,0.3286927205191943,0.16218250124150674,1511.289
202406,9550,31710,0.03555045871559633,0.06148282097649186,0.03555045871559633,0,0,1,0,0,0,0,1,1,-0.4787816232046936,-0.3940990746439,449.982
202211,9710,47820,0.047018348623853214,0.09584086799276673,0.047018348623853214,0,0,1,0,0,0,0,1,1,-0.5619234767765993,-0.5258411645978541,201.905
202310,9364,11650,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,-0.009592856762997039,-0.10607664087707297,1030.212
202303,9993,41360,0.008027522935779817,0.012658227848101266,0.008027522935779817,0,0,0,0,0,0,0,0,0,-0.5414420924095569,-0.4922840448936042,52.043
202303,9277,11680,0.15137614678899083,0.0922242314647378,0.15137614678899083,1,0,1,0,0,0,0,1,0,2.1136380800590286,3.061745588028777,5589.638
202303,9589,48250,0.14105504587155962,0.3435804701627486,0.14105504587155962,0,0,1,1,1,0,0,1,1,0.47130504502875564,0.2649659213958155,2510.212
202312,9147,11440,0.9942660550458715,0.4014466546112116,0.9942660550458715,1,1,1,0,1,0,0,1,0,7.750043950158411,9.167514722002391,12354.263
202207,9251,11740,0.06651376146788991,0.05605786618444846,0.06651376146788991,0,0,1,0,1,0,0,1,0,-0.10886887261134474,0.13307623063420193,1242.391
202303,9555,31140,0.05963302752293578,0.04701627486437613,0.05963302752293578,0,1,0,1,1,0,0,0,0,-0.17452433555828228,-0.20119547063777055,546.895
202310,9714,29140,0.0,0.0018083182640144665,0.0,0,0,1,0,0,0,0,0,0,0.3076332166761251,0.8209370790877942,3196.212
202409,9720,29200,0.01834862385321101,0.06148282097649186,0.01834862385321101,0,0,1,0,1,0,0,0,0,-0.48752432608150814,-0.4082824470994985,355.565
202210,10123,28185,0.03096330275229358,0.0162748643761302,0.03096330275229358,0,1,0,1,0,0,0,0,0,-0.22019675903574062,-0.2760838598022679,986.165
202406,10150,28237,0.0963302752293578,0.27486437613019893,0.0963302752293578,0,0,1,0,0,0,0,1,1,0.21276154545604306,0.2286348195022558,1926.278
202409,9966,41135,0.0,0.0018083182640144665,0.0,0,0,0,0,0,0,0,1,0,0.009267429379956489,-0.4222177893319168,5566.288
202210,10183,30170,0.033256880733944956,0.0433996383363472,0.033256880733944956,0,0,0,1,0,0,0,0,0,-0.19687106624149983,-0.009720703316096289,1114.399
202409,9936,41590,0.0022935779816513763,0.0,0.0022935779816513763,0,0,0,0,0,0,0,0,0,-0.5731352521004313,-0.5398784579036042,5.407
202308,10223,44770,0.005733944954128441,0.023508137432188065,0.005733944954128441,0,0,0,0,0,0,0,0,0,-0.5698211600445023,-0.5347580793698536,69.965
202303,9554,31110,0.017201834862385322,0.081374321880651,0.017201834862385322,0,1,1,0,0,0,0,1,1,-0.12279298360294146,-0.08454518285253497,553.15
202310,10303,26440,0.0022935779816513763,0.009041591320072333,0.0022935779816513763,0,0,1,0,0,0,0,1,0,-0.448913430105093,-0.5398784579036042,259.805
202207,9876,41117,0.02408256880733945,0.0054249547920434,0.02408256880733945,0,0,0,0,0,0,0,0,0,-0.4894083849531254,-0.41051776242374205,235.481
202402,9369,11650,0.05045871559633028,0.034358047016274866,0.05045871559633028,0,0,0,0,0,0,0,1,0,-0.03969347949861525,0.19163723148751255,1278.089
202409,9532,31140,0.04128440366972477,0.012658227848101266,0.04128440366972477,0,0,0,0,0,0,0,0,0,-0.5497091024296066,-0.5036843052130274,159.143
202404,9552,31110,0.06880733944954129,0.11030741410488246,0.06880733944954129,0,0,1,1,0,0,0,1,1,-0.3274571268298285,-0.1602978736536357,731.545
202208,9523,26110,0.2190366972477064,0.4719710669077758,0.2190366972477064,0,1,1,1,1,0,1,1,1,-0.02852306877102366,0.12945772835983083,3431.29
202212,9565,48125,0.07110091743119266,0.1410488245931284,0.07110091743119266,0,1,1,1,1,0,0,1,1,0.5285713739096003,0.736617454811206,2320.278
202303,9660,47830,0.06077981651376147,0.2332730560578662,0.06077981651376147,0,0,1,0,0,0,0,1,1,-0.4908394030087761,-0.4166728682689192,651.955
202303,9834,45190,0.010321100917431193,0.0216998191681736,0.010321100917431193,0,0,0,0,0,0,0,1,0,-0.5623450017097159,-0.5232071749271492,181.785
202207,10270,43770,0.06995412844036697,0.1735985533453888,0.06995412844036697,0,1,0,0,1,0,0,1,1,-0.5725758451798466,-0.5390141562670009,431.614
202310,10353,51110,0.0034403669724770644,0.003616636528028933,0.0034403669724770644,1,0,1,0,1,0,0,0,0,0.7236113544112163,-0.04533814769633382,1156.817
202405,9304,11680,0.028669724770642203,0.04159132007233273,0.028669724770642203,0,0,0,1,0,0,0,0,0,-0.06933613706157166,-0.24234261950289648,1368.08
202312,9804,50110,0.15022935779816513,0.2007233273056058,0.15022935779816513,1,1,1,0,1,0,1,1,1,1.88066381019093,2.510159848147874,5692.837
202311,9353,11650,0.02408256880733945,0.003616636528028933,0.02408256880733945,0,0,1,0,0,0,0,0,0,-0.21157814994764734,-0.2863109219494707,839.122
202303,10147,28237,0.027522935779816515,0.0433996383363472,0.027522935779816515,0,1,0,1,0,0,0,1,0,-0.018019415939974085,-0.09232694089758707,947.037
202211,9752,46110,0.04243119266055046,0.0650994575045208,0.04243119266055046,0,1,0,1,0,0,0,1,1,-0.45236835876250714,-0.37414101079585477,553.566
202301,9998,41360,0.016055045871559634,0.009041591320072333,0.016055045871559634,0,0,1,0,0,0,0,0,0,0.05733998431069825,0.3042262145753989,2163.548
202303,9370,11680,0.16399082568807338,0.09584086799276673,0.16399082568807338,0,1,0,1,0,0,0,1,1,0.2925607457031872,0.7283152897948187,2128.702
202406,9535,31140,0.03669724770642202,0.162748643761302,0.03669724770642202,0,1,0,0,0,0,0,1,1,-0.4129094885631634,-0.3061122550429911,461.815
202303,9208,11140,0.12958715596330275,0.13743218806509946,0.12958715596330275,1,1,0,0,1,0,0,1,0,0.228005384041977,0.2078991885128297,1403.084
202406,10063,41480,0.19954128440366972,0.35443037974683544,0.19954128440366972,1,1,1,1,1,0,0,1,1,-0.06242627974674336,-0.09113700448944653,2375.198
202404,9709,47230,0.11238532110091744,0.3399638336347197,0.11238532110091744,1,1,1,0,1,0,0,1,1,-0.1161470718069806,0.041918276155332806,996.904
202207,9615,27290,0.011467889908256881,0.0162748643761302,0.011467889908256881,1,0,0,1,0,0,1,1,0,-0.010702806762114984,0.23410822264814013,1713.656
202301,10035,41281,0.02408256880733945,0.03074141048824593,0.02408256880733945,0,0,0,1,1,0,0,1,0,0.5025234967342043,0.06854272287302478,1331.946
202309,9577,48240,0.033256880733944956,0.014466546112115732,0.033256880733944956,0,0,0,0,0,0,0,1,1,-0.5731352521004313,-0.5398784579036042,307.454
202208,10048,41285,0.006880733944954129,0.0054249547920434,0.006880733944954129,1,0,1,0,0,0,0,0,0,0.7389822413998887,0.9119626493371132,4339.841
202312,9219,11530,0.01834862385321101,0.03074141048824593,0.01834862385321101,0,0,0,0,0,0,0,1,0,-0.3627598399783491,-0.2148416978861138,296.221
202303,10303,26440,0.0022935779816513763,0.009041591320072333,0.0022935779816513763,0,0,1,0,0,0,0,1,0,-0.553441764804635,-0.5398784579036042,281.686
202403,10222,44760,0.07110091743119266,0.39059674502712477,0.07110091743119266,1,1,1,1,1,0,1,1,1,-0.40183559522679946,-0.2752149931922318,1172.632
202406,9924,41370,0.0389908256880734,0.03074141048824593,0.0389908256880734,0,0,0,1,0,0,0,0,0,-0.28596942167202605,-0.16680296079532475,1555.994
202208,9280,11680,0.02522935779816514,0.014466546112115732,0.02522935779816514,0,0,0,0,0,0,0,0,0,-0.21405313162269915,-0.4152668564516278,770.661
202311,9800,50130,0.034403669724770644,0.027124773960216998,0.034403669724770644,1,0,0,0,1,0,0,0,0,-0.5731352521004313,-0.5398784579036042,343.153
202403,10270,43770,0.06995412844036697,0.17540687160940324,0.06995412844036697,0,1,0,0,1,0,0,1,1,-0.5592603846757874,-0.5184413426633433,497.68
202312,9752,46110,0.04243119266055046,0.0650994575045208,0.04243119266055046,0,1,0,1,0,0,0,1,1,-0.40425542410686405,-0.3111367691346536,587.447
202211,10064,41480,0.058486238532110095,0.189873417721519,0.058486238532110095,0,1,1,1,1,0,0,1,1,-0.01960998315255215,0.2574458884942418,963.669
202303,9838,45140,0.014908256880733946,0.06148282097649186,0.014908256880733946,0,0,1,0,0,0,0,1,0,-0.47525282919685014,-0.40973563030892846,211.954
202306,9882,41111,0.01834862385321101,0.012658227848101266,0.01834862385321101,0,0,1,0,0,0,0,0,0,-0.33804252398201984,-0.17665265180541906,1259.135
202210,10272,43720,0.0481651376146789,0.24050632911392406,0.0481651376146789,0,0,1,1,1,0,0,1,1,-0.5731352521004313,-0.5398784579036042,478.86
202211,9292,11680,0.10321100917431193,0.04701627486437613,0.10321100917431193,0,0,0,0,0,0,0,1,0,1.182959286433049,0.7794642954511312,4480.166
202210,10086,41171,0.020642201834862386,0.11211573236889692,0.020642201834862386,1,0,1,0,1,0,0,1,0,-0.30451553385782015,-0.28984573304424116,1094.179
202303,9861,45210,0.05389908256880734,0.4213381555153707,0.05389908256880734,1,1,0,1,1,0,0,1,1,-0.46451477698710486,-0.3817995145582222,554.552
202207,10133,28710,0.06536697247706422,0.2766726943942134,0.06536697247706422,1,0,1,1,1,0,0,1,1,-0.4232910173481698,-0.31000313406551716,828.035
202303,9904,41463,0.0034403669724770644,0.007233273056057866,0.0034403669724770644,0,1,1,1,0,0,0,0,0,-0.2557486446330428,-0.07756838178946028,1116.978
